Time,Indiana,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:14.0, ,87-61,J. Wiseman enters the game for J. Duren,,3,61,87,-26,1846.0
4:58.0, ,87-61,C. Cunningham misses 2-pt hook shot from 6 ft (block by M. Turner),,3,61,87,-26,1862.0
4:57.0, ,87-61,Offensive rebound by J. Wiseman,,3,61,87,-26,1863.0
4:57.0, ,87-61,J. Wiseman misses 2-pt layup from 4 ft,,3,61,87,-26,1863.0
4:57.0, ,87-61,Shooting foul by M. Turner (drawn by J. Wiseman),,3,61,87,-26,1863.0
4:57.0, ,87-62,J. Wiseman makes free throw 1 of 2,,3,62,87,-25,1863.0
4:57.0,I. Jackson enters the game for M. Turner,87-62, ,,3,62,87,-25,1863.0
4:57.0, ,87-62,E. Fournier enters the game for S. Umude,,3,62,87,-25,1863.0
4:57.0, ,87-63,J. Wiseman makes free throw 2 of 2,,3,63,87,-24,1863.0
4:46.0,T. Haliburton misses 2-pt jump shot from 21 ft,87-63, ,,3,63,87,-24,1874.0
4:44.0, ,87-63,Defensive rebound by J. Ivey,,3,63,87,-24,1876.0
4:37.0, ,87-65,C. Metu makes 2-pt hook shot from 6 ft (assist by J. Ivey),,3,65,87,-22,1883.0
4:30.0,Shooting foul by J. Wiseman (drawn by I. Jackson),87-65, ,,3,65,87,-22,1890.0
4:30.0,I. Jackson makes free throw 1 of 2,88-65, ,,3,65,88,-23,1890.0
4:30.0, ,88-65,M. Sasser enters the game for J. Ivey,,3,65,88,-23,1890.0
4:30.0,I. Jackson misses free throw 2 of 2,88-65, ,,3,65,88,-23,1890.0
4:27.0, ,88-65,Defensive rebound by J. Wiseman,,3,65,88,-23,1893.0
4:15.0, ,88-67,C. Cunningham makes 2-pt jump shot from 16 ft,,3,67,88,-21,1905.0
4:04.0,P. Siakam makes 2-pt layup from 3 ft (assist by I. Jackson),90-67, ,,3,67,90,-23,1916.0
4:04.0,T. McConnell enters the game for A. Nembhard,90-67, ,,3,67,90,-23,1916.0
4:04.0,B. Sheppard enters the game for A. Nesmith,90-67, ,,3,67,90,-23,1916.0
3:39.0, ,90-69,C. Cunningham makes 2-pt jump shot from 12 ft (assist by E. Fournier),,3,69,90,-21,1941.0
3:23.0,T. Haliburton makes 2-pt jump shot from 7 ft,92-69, ,,3,69,92,-23,1957.0
3:16.0, ,92-69,C. Metu misses 3-pt jump shot from 24 ft,,3,69,92,-23,1964.0
3:14.0,Defensive rebound by P. Siakam,92-69, ,,3,69,92,-23,1966.0
3:08.0,P. Siakam makes 2-pt layup from 4 ft (assist by T. Haliburton),94-69, ,,3,69,94,-25,1972.0
2:52.0, ,94-71,J. Wiseman makes 2-pt layup from 3 ft (assist by C. Cunningham),,3,71,94,-23,1988.0
2:44.0,Indiana full timeout,94-71, ,,3,71,94,-23,1996.0
2:44.0, ,94-71,T. Brown enters the game for C. Cunningham,,3,71,94,-23,1996.0
2:34.0,Turnover by T. McConnell (traveling),94-71, ,,3,71,94,-23,2006.0
2:20.0, ,94-71,C. Metu misses 3-pt jump shot from 28 ft (block by P. Siakam),,3,71,94,-23,2020.0
2:19.0, ,94-71,Offensive rebound by J. Wiseman,,3,71,94,-23,2021.0
2:18.0, ,94-73,J. Wiseman makes 2-pt hook shot from 2 ft,,3,73,94,-21,2022.0
1:53.0,P. Siakam misses 2-pt jump shot from 8 ft,94-73, ,,3,73,94,-21,2047.0
1:51.0, ,94-73,Defensive rebound by J. Wiseman,,3,73,94,-21,2049.0
1:42.0, ,94-73,Turnover by M. Sasser (lost ball; steal by I. Jackson),,3,73,94,-21,2058.0
1:38.0,I. Jackson makes 2-pt dunk from 3 ft,96-73, ,,3,73,96,-23,2062.0
1:19.0, ,96-75,C. Metu makes 2-pt dunk from 5 ft (assist by T. Brown),,3,75,96,-21,2081.0
0:54.0,Turnover by T. McConnell (bad pass; steal by E. Fournier),96-75, ,,3,75,96,-21,2106.0
0:52.0, ,96-78,E. Fournier makes 3-pt jump shot from 27 ft,,3,78,96,-18,2108.0
0:52.0,Indiana full timeout,96-78, ,,3,78,96,-18,2108.0
0:52.0,D. McDermott enters the game for T. Haliburton,96-78, ,,3,78,96,-18,2108.0
0:52.0,O. Toppin enters the game for P. Siakam,96-78, ,,3,78,96,-18,2108.0
0:52.0,Violation by Team (delay of game),96-78, ,,3,78,96,-18,2108.0
0:43.0,B. Sheppard makes 2-pt layup from 4 ft (assist by O. Toppin),98-78, ,,3,78,98,-20,2117.0
0:23.0, ,98-78,J. Wiseman misses 2-pt jump shot from 7 ft,,3,78,98,-20,2137.0
0:20.0,Defensive rebound by O. Toppin,98-78, ,,3,78,98,-20,2140.0
0:02.0,Turnover by T. McConnell (bad pass; steal by C. Metu),98-78, ,,3,78,98,-20,2158.0
0:00.0, ,98-78,C. Metu misses 2-pt layup from 3 ft,,3,78,98,-20,2160.0
0:00.0, ,98-78,Offensive rebound by Team,,3,78,98,-20,2160.0
0:00.0,End of 3rd quarter,98-78,,,3,78,98,-20,2160.0
12:00.0,Start of 4th quarter,98-78,,,4,78,98,-20,2160.0
11:38.0,T. McConnell makes 2-pt jump shot from 8 ft (assist by D. McDermott),100-78, ,,4,78,100,-22,2182.0
11:17.0, ,100-80,T. Brown makes 2-pt jump shot from 20 ft (assist by E. Fournier),,4,80,100,-20,2203.0
10:50.0,I. Jackson makes 2-pt hook shot from 3 ft (assist by T. McConnell),102-80, ,,4,80,102,-22,2230.0
10:41.0, ,102-80,Personal foul by D. McDermott (drawn by C. Metu),,4,80,102,-22,2239.0
10:35.0, ,102-80,Shooting foul by O. Toppin (drawn by C. Metu),,4,80,102,-22,2245.0
10:35.0, ,102-81,C. Metu makes free throw 1 of 2,,4,81,102,-21,2245.0
10:35.0, ,102-82,C. Metu makes free throw 2 of 2,,4,82,102,-20,2245.0
10:21.0,B. Sheppard makes 2-pt jump shot from 20 ft (assist by D. McDermott),104-82, ,,4,82,104,-22,2259.0
10:02.0, ,104-84,J. Wiseman makes 2-pt hook shot from 6 ft (assist by M. Sasser),,4,84,104,-20,2278.0
9:55.0,Turnover by B. Sheppard (bad pass; steal by M. Sasser),104-84, ,,4,84,104,-20,2285.0
9:55.0, ,104-84,M. Sasser misses 2-pt layup from 8 ft (block by T. McConnell),,4,84,104,-20,2285.0
9:55.0,Defensive rebound by Team,104-84, ,,4,84,104,-20,2285.0
9:55.0, ,104-84,J. Duren enters the game for J. Wiseman,,4,84,104,-20,2285.0
9:39.0,B. Sheppard misses 3-pt jump shot from 25 ft,104-84, ,,4,84,104,-20,2301.0
9:36.0, ,104-84,Defensive rebound by E. Fournier,,4,84,104,-20,2304.0
9:24.0, ,104-84,E. Fournier misses 2-pt jump shot from 9 ft,,4,84,104,-20,2316.0
9:21.0,Defensive rebound by D. McDermott,104-84, ,,4,84,104,-20,2319.0
9:18.0,Turnover by T. McConnell (bad pass; steal by C. Metu),104-84, ,,4,84,104,-20,2322.0
9:10.0, ,104-84,T. Brown misses 3-pt jump shot from 27 ft,,4,84,104,-20,2330.0
9:04.0,Defensive rebound by I. Jackson,104-84, ,,4,84,104,-20,2336.0
8:59.0,Personal foul by C. Metu (drawn by T. McConnell),104-84, ,,4,84,104,-20,2341.0
8:47.0,T. McConnell makes 2-pt jump shot from 7 ft,106-84, ,,4,84,106,-22,2353.0
8:36.0, ,106-84,M. Sasser misses 3-pt jump shot from 26 ft,,4,84,106,-22,2364.0
8:33.0,Defensive rebound by T. McConnell,106-84, ,,4,84,106,-22,2367.0
8:24.0,O. Toppin misses 3-pt jump shot from 26 ft,106-84, ,,4,84,106,-22,2376.0
8:21.0,Offensive rebound by I. Jackson,106-84, ,,4,84,106,-22,2379.0
8:16.0,D. McDermott misses 3-pt jump shot from 25 ft,106-84, ,,4,84,106,-22,2384.0
8:13.0, ,106-84,Defensive rebound by M. Sasser,,4,84,106,-22,2387.0
8:12.0,Violation by Team (kicked ball),106-84, ,,4,84,106,-22,2388.0
8:09.0, ,106-84,Turnover by E. Fournier (bad pass; steal by T. McConnell),,4,84,106,-22,2391.0
8:05.0,T. McConnell makes 2-pt layup from 3 ft,108-84, ,,4,84,108,-24,2395.0
7:51.0, ,108-84,J. Duren misses 2-pt layup from 4 ft,,4,84,108,-24,2409.0
7:49.0,Defensive rebound by I. Jackson,108-84, ,,4,84,108,-24,2411.0
7:44.0,D. McDermott misses 3-pt jump shot from 28 ft,108-84, ,,4,84,108,-24,2416.0
7:41.0, ,108-84,Defensive rebound by C. Metu,,4,84,108,-24,2419.0
7:30.0, ,108-84,Turnover by E. Fournier (bad pass; steal by O. Toppin),,4,84,108,-24,2430.0
7:23.0,Indiana full timeout,108-84, ,,4,84,108,-24,2437.0
7:23.0,A. Nembhard enters the game for B. Sheppard,108-84, ,,4,84,108,-24,2437.0
7:23.0,P. Siakam enters the game for O. Toppin,108-84, ,,4,84,108,-24,2437.0
7:23.0, ,108-84,C. Cunningham enters the game for E. Fournier,,4,84,108,-24,2437.0
7:23.0, ,108-84,T. Evbuomwan enters the game for M. Sasser,,4,84,108,-24,2437.0
7:15.0,D. McDermott makes 2-pt jump shot from 7 ft (assist by T. McConnell),110-84, ,,4,84,110,-26,2445.0
7:02.0, ,110-84,Shooting foul by I. Jackson (drawn by J. Duren),,4,84,110,-26,2458.0
7:02.0, ,110-85,J. Duren makes free throw 1 of 2,,4,85,110,-25,2458.0
7:02.0,M. Turner enters the game for I. Jackson,110-85, ,,4,85,110,-25,2458.0
7:02.0, ,110-85,J. Ivey enters the game for C. Metu,,4,85,110,-25,2458.0
7:02.0, ,110-86,J. Duren makes free throw 2 of 2,,4,86,110,-24,2458.0
6:39.0,P. Siakam misses 2-pt jump shot from 7 ft,110-86, ,,4,86,110,-24,2481.0
6:32.0, ,110-86,Defensive rebound by J. Duren,,4,86,110,-24,2488.0
6:32.0, ,110-86,Turnover by J. Duren (bad pass; steal by D. McDermott),,4,86,110,-24,2488.0
6:25.0,M. Turner makes 3-pt jump shot from 26 ft (assist by T. McConnell),113-86, ,,4,86,113,-27,2495.0
6:14.0, ,113-86,Shooting foul by M. Turner (drawn by J. Duren),,4,86,113,-27,2506.0
6:14.0, ,113-87,J. Duren makes free throw 1 of 2,,4,87,113,-26,2506.0
6:14.0,J. Walker enters the game for P. Siakam,113-87, ,,4,87,113,-26,2506.0
6:14.0,Indiana full timeout,113-87, ,,4,87,113,-26,2506.0
6:14.0,I. Jackson enters the game for M. Turner,113-87, ,,4,87,113,-26,2506.0
6:14.0, ,113-87,J. Duren misses free throw 2 of 2,,4,87,113,-26,2506.0
6:11.0,Defensive rebound by D. McDermott,113-87, ,,4,87,113,-26,2509.0
5:57.0,D. McDermott makes 2-pt jump shot from 14 ft (assist by T. McConnell),115-87, ,,4,87,115,-28,2523.0
5:28.0, ,115-87,J. Duren misses 2-pt hook shot from 8 ft,,4,87,115,-28,2552.0
5:25.0,Defensive rebound by J. Walker,115-87, ,,4,87,115,-28,2555.0
5:13.0,Turnover by T. McConnell (lost ball; steal by C. Cunningham),115-87, ,,4,87,115,-28,2567.0
5:09.0, ,115-87,T. Brown misses 2-pt layup from 5 ft (block by J. Walker),,4,87,115,-28,2571.0
5:09.0, ,115-87,Offensive rebound by Team,,4,87,115,-28,2571.0
4:58.0, ,115-89,J. Duren makes 2-pt dunk from 3 ft (assist by J. Ivey),,4,89,115,-26,2582.0
4:29.0,A. Nembhard misses 2-pt jump shot from 12 ft,115-89, ,,4,89,115,-26,2611.0
4:27.0, ,115-89,Defensive rebound by T. Evbuomwan,,4,89,115,-26,2613.0
4:22.0, ,115-89,Shooting foul by I. Jackson (drawn by J. Duren),,4,89,115,-26,2618.0
4:22.0, ,115-90,J. Duren makes free throw 1 of 2,,4,90,115,-25,2618.0
4:22.0,K. Brown enters the game for T. McConnell,115-90, ,,4,90,115,-25,2618.0
4:22.0,B. Sheppard enters the game for A. Nembhard,115-90, ,,4,90,115,-25,2618.0
4:22.0, ,115-91,J. Duren makes free throw 2 of 2,,4,91,115,-24,2618.0
4:10.0,I. Jackson makes 2-pt layup from 2 ft (assist by B. Sheppard),117-91, ,,4,91,117,-26,2630.0
3:59.0, ,117-93,J. Ivey makes 2-pt jump shot from 10 ft (assist by C. Cunningham),,4,93,117,-24,2641.0
3:37.0,J. Walker misses 2-pt layup from 3 ft,117-93, ,,4,93,117,-24,2663.0
3:35.0, ,117-93,Defensive rebound by J. Duren,,4,93,117,-24,2665.0
3:29.0, ,117-93,J. Ivey misses 3-pt jump shot from 26 ft,,4,93,117,-24,2671.0
3:27.0, ,117-93,Offensive rebound by T. Brown,,4,93,117,-24,2673.0
3:26.0, ,117-93,T. Evbuomwan misses 2-pt layup from 4 ft,,4,93,117,-24,2674.0
3:26.0,Defensive rebound by K. Brown,117-93, ,,4,93,117,-24,2674.0
3:21.0,J. Walker makes 2-pt layup from 3 ft (assist by K. Brown),119-93, ,,4,93,119,-26,2679.0
3:21.0, ,119-93,Detroit full timeout,,4,93,119,-26,2679.0
3:21.0,J. Johnson enters the game for D. McDermott,119-93, ,,4,93,119,-26,2679.0
3:21.0, ,119-93,B. Boeheim enters the game for C. Cunningham,,4,93,119,-26,2679.0
3:21.0, ,119-93,M. Flynn enters the game for J. Duren,,4,93,119,-26,2679.0
3:21.0, ,119-93,C. Metu enters the game for J. Ivey,,4,93,119,-26,2679.0
3:07.0, ,119-93,B. Boeheim misses 3-pt jump shot from 27 ft,,4,93,119,-26,2693.0
3:03.0, ,119-93,Offensive rebound by M. Flynn,,4,93,119,-26,2697.0
2:55.0, ,119-93,M. Flynn misses 3-pt jump shot from 26 ft,,4,93,119,-26,2705.0
2:49.0, ,119-93,Offensive rebound by B. Boeheim,,4,93,119,-26,2711.0
2:49.0, ,119-93,B. Boeheim misses 2-pt layup at rim,,4,93,119,-26,2711.0
2:49.0, ,119-93,Offensive rebound by C. Metu,,4,93,119,-26,2711.0
2:47.0, ,119-95,C. Metu makes 2-pt layup at rim,,4,95,119,-24,2713.0
2:35.0,I. Jackson misses 2-pt jump shot from 7 ft,119-95, ,,4,95,119,-24,2725.0
2:33.0, ,119-95,Defensive rebound by C. Metu,,4,95,119,-24,2727.0
2:16.0, ,119-98,B. Boeheim makes 3-pt jump shot from 28 ft (assist by C. Metu),,4,98,119,-21,2744.0
2:06.0,Turnover by J. Johnson (bad pass),119-98, ,,4,98,119,-21,2754.0
1:56.0, ,119-98,Turnover by C. Metu (bad pass),,4,98,119,-21,2764.0
1:40.0,B. Sheppard misses 2-pt layup from 5 ft,119-98, ,,4,98,119,-21,2780.0
1:38.0, ,119-98,Defensive rebound by T. Evbuomwan,,4,98,119,-21,2782.0
1:33.0, ,119-98,Shooting foul by J. Walker (drawn by B. Boeheim),,4,98,119,-21,2787.0
1:33.0, ,119-99,B. Boeheim makes free throw 1 of 3,,4,99,119,-20,2787.0
1:33.0, ,119-100,B. Boeheim makes free throw 2 of 3,,4,100,119,-19,2787.0
1:33.0, ,119-101,B. Boeheim makes free throw 3 of 3,,4,101,119,-18,2787.0
1:10.0,B. Sheppard misses 3-pt jump shot from 26 ft,119-101, ,,4,101,119,-18,2810.0
1:07.0, ,119-101,Defensive rebound by M. Flynn,,4,101,119,-18,2813.0
1:05.0, ,119-103,T. Evbuomwan makes 2-pt layup from 4 ft (assist by M. Flynn),,4,103,119,-16,2815.0
0:58.0,K. Brown misses 2-pt layup from 3 ft,119-103, ,,4,103,119,-16,2822.0
0:58.0,Offensive rebound by I. Jackson,119-103, ,,4,103,119,-16,2822.0
0:58.0,Shooting foul by C. Metu (drawn by I. Jackson),119-103, ,,4,103,119,-16,2822.0
0:58.0,I. Jackson misses free throw 1 of 2,119-103, ,,4,103,119,-16,2822.0
0:58.0,Offensive rebound by Team,119-103, ,,4,103,119,-16,2822.0
0:58.0,I. Jackson makes free throw 2 of 2,120-103, ,,4,103,120,-17,2822.0
0:45.0, ,120-103,Turnover by M. Flynn (bad pass; steal by J. Johnson),,4,103,120,-17,2835.0
0:42.0,K. Brown makes 2-pt dunk from 3 ft (assist by I. Jackson),122-103, ,,4,103,122,-19,2838.0
0:32.0, ,122-103,M. Flynn misses 3-pt jump shot from 28 ft,,4,103,122,-19,2848.0
0:30.0,Defensive rebound by B. Sheppard,122-103, ,,4,103,122,-19,2850.0
0:08.0,Turnover by Team (shot clock),122-103, ,,4,103,122,-19,2872.0
0:00.0,End of 4th quarter,122-103,,,4,103,122,-19,2880.0
