Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:43.0, ,95-79,C. White misses 3-pt jump shot from 25 ft,,3,95,79,16,2117.0
0:41.0,Defensive rebound by P. Tucker,95-79, ,,3,95,79,16,2119.0
0:37.0,T. Herro makes 3-pt jump shot from 25 ft (assist by K. Lowry),98-79, ,,3,98,79,19,2123.0
0:25.0, ,98-79,Shooting foul by T. Herro (drawn by T. Thompson),,3,98,79,19,2135.0
0:25.0, ,98-79,T. Thompson misses free throw 1 of 2,,3,98,79,19,2135.0
0:25.0, ,98-79,Offensive rebound by Team,,3,98,79,19,2135.0
0:25.0, ,98-79,T. Thompson misses free throw 2 of 2,,3,98,79,19,2135.0
0:24.0,Defensive rebound by T. Herro,98-79, ,,3,98,79,19,2136.0
0:03.0,D. Robinson misses 3-pt jump shot from 23 ft,98-79, ,,3,98,79,19,2157.0
0:03.0, ,98-79,Defensive rebound by C. White,,3,98,79,19,2157.0
0:00.0,End of 3rd quarter,98-79,,,3,98,79,19,2160.0
12:00.0,Start of 4th quarter,98-79,,,4,98,79,19,2160.0
11:41.0,G. Vincent makes 2-pt jump shot from 22 ft,100-79, ,,4,100,79,21,2179.0
11:19.0, ,100-79,C. White misses 2-pt jump shot from 10 ft,,4,100,79,21,2201.0
11:17.0,Defensive rebound by J. Butler,100-79, ,,4,100,79,21,2203.0
11:07.0,G. Vincent misses 2-pt jump shot from 20 ft,100-79, ,,4,100,79,21,2213.0
11:03.0, ,100-79,Defensive rebound by T. Thompson,,4,100,79,21,2217.0
10:53.0, ,100-81,J. Green makes 2-pt layup from 2 ft (assist by A. Dosunmu),,4,100,81,19,2227.0
10:53.0, ,100-81,Shooting foul by T. Herro (drawn by J. Green),,4,100,81,19,2227.0
10:53.0, ,100-82,J. Green makes free throw 1 of 1,,4,100,82,18,2227.0
10:35.0,D. Robinson misses 3-pt jump shot from 26 ft,100-82, ,,4,100,82,18,2245.0
10:32.0, ,100-82,Defensive rebound by D. DeRozan,,4,100,82,18,2248.0
10:25.0, ,100-82,C. White misses 3-pt jump shot from 26 ft,,4,100,82,18,2255.0
10:22.0,Defensive rebound by T. Herro,100-82, ,,4,100,82,18,2258.0
10:10.0,Turnover by D. Dedmon (lost ball; steal by T. Thompson),100-82, ,,4,100,82,18,2270.0
10:09.0, ,100-82,Turnover by T. Thompson (bad pass),,4,100,82,18,2271.0
10:09.0, ,100-82,Loose ball foul by J. Green (drawn by G. Vincent),,4,100,82,18,2271.0
9:57.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Butler),103-82, ,,4,103,82,21,2283.0
9:41.0, ,103-82,Personal foul by T. Herro (drawn by T. Thompson),,4,103,82,21,2299.0
9:41.0, ,103-82,A. Caruso enters the game for A. Dosunmu,,4,103,82,21,2299.0
9:41.0, ,103-82,Z. LaVine enters the game for C. White,,4,103,82,21,2299.0
9:33.0, ,103-85,D. DeRozan makes 3-pt jump shot from 26 ft (assist by A. Caruso),,4,103,85,18,2307.0
9:17.0,G. Vincent makes 3-pt jump shot from 29 ft,106-85, ,,4,106,85,21,2323.0
9:02.0, ,106-87,Z. LaVine makes 2-pt jump shot from 5 ft,,4,106,87,19,2338.0
9:02.0, ,106-87,Shooting foul by D. Dedmon (drawn by Z. LaVine),,4,106,87,19,2338.0
9:02.0, ,106-88,Z. LaVine makes free throw 1 of 1,,4,106,88,18,2338.0
8:45.0,D. Dedmon makes 2-pt layup from 2 ft (assist by G. Vincent),108-88, ,,4,108,88,20,2355.0
8:25.0, ,108-88,T. Thompson misses 2-pt layup from 1 ft,,4,108,88,20,2375.0
8:23.0, ,108-88,Offensive rebound by A. Caruso,,4,108,88,20,2377.0
8:18.0, ,108-88,Turnover by Z. LaVine (bad pass; steal by J. Butler),,4,108,88,20,2382.0
8:02.0,Shooting foul by J. Green (drawn by T. Herro),108-88, ,,4,108,88,20,2398.0
8:02.0,T. Herro misses free throw 1 of 3,108-88, ,,4,108,88,20,2398.0
8:02.0,Offensive rebound by Team,108-88, ,,4,108,88,20,2398.0
8:02.0,T. Herro misses free throw 2 of 3,108-88, ,,4,108,88,20,2398.0
8:02.0, ,108-88,N. Vučević enters the game for T. Thompson,,4,108,88,20,2398.0
8:02.0,T. Herro makes free throw 3 of 3,109-88, ,,4,109,88,21,2398.0
7:48.0, ,109-88,Shooting foul by J. Butler (drawn by Z. LaVine),,4,109,88,21,2412.0
7:48.0, ,109-89,Z. LaVine makes free throw 1 of 2,,4,109,89,20,2412.0
7:48.0, ,109-90,Z. LaVine makes free throw 2 of 2,,4,109,90,19,2412.0
7:37.0,Shooting foul by Z. LaVine (drawn by D. Robinson),109-90, ,,4,109,90,19,2423.0
7:37.0,D. Robinson makes free throw 1 of 3,110-90, ,,4,110,90,20,2423.0
7:37.0,D. Robinson makes free throw 2 of 3,111-90, ,,4,111,90,21,2423.0
7:37.0, ,111-90,P. Williams enters the game for J. Green,,4,111,90,21,2423.0
7:37.0,D. Robinson misses free throw 3 of 3,111-90, ,,4,111,90,21,2423.0
7:34.0, ,111-90,Defensive rebound by P. Williams,,4,111,90,21,2426.0
7:21.0, ,111-92,D. DeRozan makes 2-pt jump shot from 17 ft,,4,111,92,19,2439.0
7:05.0,T. Herro misses 2-pt jump shot from 9 ft,111-92, ,,4,111,92,19,2455.0
7:03.0, ,111-92,Defensive rebound by A. Caruso,,4,111,92,19,2457.0
6:58.0, ,111-92,N. Vučević misses 3-pt jump shot from 27 ft,,4,111,92,19,2462.0
6:56.0,Defensive rebound by T. Herro,111-92, ,,4,111,92,19,2464.0
6:47.0,D. Dedmon misses 3-pt jump shot from 25 ft,111-92, ,,4,111,92,19,2473.0
6:43.0, ,111-92,Defensive rebound by Z. LaVine,,4,111,92,19,2477.0
6:34.0, ,111-92,Shooting foul by T. Herro (drawn by Z. LaVine),,4,111,92,19,2486.0
6:34.0, ,111-92,Chicago full timeout,,4,111,92,19,2486.0
6:34.0,Technical foul by T. Herro,111-92, ,,4,111,92,19,2486.0
6:34.0, ,111-93,Z. LaVine makes technical free throw,,4,111,93,18,2486.0
6:34.0, ,111-93,J. Green enters the game for A. Caruso,,4,111,93,18,2486.0
6:34.0, ,111-94,Z. LaVine makes free throw 1 of 2,,4,111,94,17,2486.0
6:34.0, ,111-95,Z. LaVine makes free throw 2 of 2,,4,111,95,16,2486.0
6:15.0,D. Dedmon misses 3-pt jump shot from 25 ft,111-95, ,,4,111,95,16,2505.0
6:11.0, ,111-95,Defensive rebound by N. Vučević,,4,111,95,16,2509.0
6:05.0, ,111-97,Z. LaVine makes 2-pt jump shot from 14 ft,,4,111,97,14,2515.0
5:43.0,T. Herro misses 2-pt jump shot from 18 ft,111-97, ,,4,111,97,14,2537.0
5:41.0, ,111-97,Defensive rebound by N. Vučević,,4,111,97,14,2539.0
5:29.0, ,111-97,D. DeRozan misses 2-pt jump shot from 15 ft,,4,111,97,14,2551.0
5:27.0,Defensive rebound by D. Dedmon,111-97, ,,4,111,97,14,2553.0
5:17.0,J. Butler misses 2-pt layup from 3 ft (block by N. Vučević),111-97, ,,4,111,97,14,2563.0
5:17.0,Offensive rebound by Team,111-97, ,,4,111,97,14,2563.0
5:17.0,B. Adebayo enters the game for D. Dedmon,111-97, ,,4,111,97,14,2563.0
5:14.0,G. Vincent makes 3-pt jump shot from 22 ft (assist by T. Herro),114-97, ,,4,114,97,17,2566.0
4:47.0, ,114-97,N. Vučević misses 2-pt hook shot from 6 ft,,4,114,97,17,2593.0
4:45.0,Defensive rebound by J. Butler,114-97, ,,4,114,97,17,2595.0
4:32.0,D. Robinson misses 3-pt jump shot from 26 ft,114-97, ,,4,114,97,17,2608.0
4:29.0, ,114-97,Defensive rebound by J. Green,,4,114,97,17,2611.0
4:18.0, ,114-99,P. Williams makes 2-pt jump shot from 18 ft (assist by D. DeRozan),,4,114,99,15,2622.0
4:04.0,Shooting foul by J. Green (drawn by J. Butler),114-99, ,,4,114,99,15,2636.0
4:04.0,J. Butler misses free throw 1 of 2,114-99, ,,4,114,99,15,2636.0
4:04.0,Offensive rebound by Team,114-99, ,,4,114,99,15,2636.0
4:04.0,J. Butler makes free throw 2 of 2,115-99, ,,4,115,99,16,2636.0
3:56.0, ,115-99,Personal foul by J. Butler (drawn by D. DeRozan),,4,115,99,16,2644.0
3:56.0, ,115-100,D. DeRozan makes free throw 1 of 2,,4,115,100,15,2644.0
3:56.0, ,115-101,D. DeRozan makes free throw 2 of 2,,4,115,101,14,2644.0
3:48.0,Personal foul by P. Williams (drawn by G. Vincent),115-101, ,,4,115,101,14,2652.0
3:48.0,G. Vincent makes free throw 1 of 2,116-101, ,,4,116,101,15,2652.0
3:48.0,G. Vincent makes free throw 2 of 2,117-101, ,,4,117,101,16,2652.0
3:37.0, ,117-101,D. DeRozan misses 3-pt jump shot from 25 ft,,4,117,101,16,2663.0
3:34.0, ,117-101,Offensive rebound by J. Green,,4,117,101,16,2666.0
3:30.0,Jump ball: N. Vučević vs. G. Vincent (P. Williams gains possession),117-101,,,4,117,101,16,2670.0
3:26.0, ,117-101,Z. LaVine misses 3-pt jump shot from 27 ft,,4,117,101,16,2674.0
3:21.0,Defensive rebound by J. Butler,117-101, ,,4,117,101,16,2679.0
3:12.0,Shooting foul by N. Vučević (drawn by J. Butler),117-101, ,,4,117,101,16,2688.0
3:12.0,J. Butler makes free throw 1 of 2,118-101, ,,4,118,101,17,2688.0
3:12.0,J. Butler makes free throw 2 of 2,119-101, ,,4,119,101,18,2688.0
3:12.0, ,119-101,Chicago full timeout,,4,119,101,18,2688.0
3:12.0,H. Highsmith enters the game for J. Butler,119-101, ,,4,119,101,18,2688.0
3:12.0, ,119-101,A. Dosunmu enters the game for D. DeRozan,,4,119,101,18,2688.0
3:12.0, ,119-101,D. Jones enters the game for Z. LaVine,,4,119,101,18,2688.0
3:12.0, ,119-101,C. White enters the game for N. Vučević,,4,119,101,18,2688.0
2:59.0, ,119-101,Shooting foul by D. Robinson (drawn by P. Williams),,4,119,101,18,2701.0
2:59.0, ,119-101,P. Williams misses free throw 1 of 2,,4,119,101,18,2701.0
2:59.0, ,119-101,Offensive rebound by Team,,4,119,101,18,2701.0
2:59.0,O. Yurtseven enters the game for B. Adebayo,119-101, ,,4,119,101,18,2701.0
2:59.0, ,119-102,P. Williams makes free throw 2 of 2,,4,119,102,17,2701.0
2:41.0,D. Robinson misses 3-pt jump shot from 28 ft,119-102, ,,4,119,102,17,2719.0
2:36.0, ,119-102,Defensive rebound by A. Dosunmu,,4,119,102,17,2724.0
2:28.0, ,119-102,C. White misses 2-pt jump shot from 10 ft,,4,119,102,17,2732.0
2:25.0,Defensive rebound by T. Herro,119-102, ,,4,119,102,17,2735.0
2:16.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by H. Highsmith),122-102, ,,4,122,102,20,2744.0
1:57.0, ,122-102,J. Green misses 2-pt layup from 2 ft,,4,122,102,20,2763.0
1:56.0, ,122-102,Offensive rebound by J. Green,,4,122,102,20,2764.0
1:56.0, ,122-104,J. Green makes 2-pt layup at rim,,4,122,104,18,2764.0
1:42.0,H. Highsmith misses 3-pt jump shot from 23 ft,122-104, ,,4,122,104,18,2778.0
1:40.0,Offensive rebound by O. Yurtseven,122-104, ,,4,122,104,18,2780.0
1:40.0,O. Yurtseven makes 2-pt layup from 1 ft,124-104, ,,4,124,104,20,2780.0
1:36.0, ,124-104,Personal take foul by G. Vincent (drawn by C. White),,4,124,104,20,2784.0
1:36.0, ,124-105,C. White makes free throw 1 of 2,,4,124,105,19,2784.0
1:36.0,U. Haslem enters the game for T. Herro,124-105, ,,4,124,105,19,2784.0
1:36.0, ,124-105,T. Bradley enters the game for A. Dosunmu,,4,124,105,19,2784.0
1:36.0, ,124-105,T. Brown enters the game for P. Williams,,4,124,105,19,2784.0
1:36.0, ,124-106,C. White makes free throw 2 of 2,,4,124,106,18,2784.0
1:15.0,U. Haslem misses 2-pt jump shot from 19 ft,124-106, ,,4,124,106,18,2805.0
1:12.0, ,124-106,Defensive rebound by Team,,4,124,106,18,2808.0
0:56.0, ,124-106,Turnover by C. White (bad pass; steal by H. Highsmith),,4,124,106,18,2824.0
0:47.0,G. Vincent misses 3-pt jump shot from 25 ft,124-106, ,,4,124,106,18,2833.0
0:45.0, ,124-106,Defensive rebound by T. Bradley,,4,124,106,18,2835.0
0:37.0, ,124-106,J. Green misses 3-pt jump shot from 26 ft,,4,124,106,18,2843.0
0:35.0, ,124-106,Offensive rebound by D. Jones,,4,124,106,18,2845.0
0:33.0, ,124-108,D. Jones makes 2-pt jump shot from 5 ft,,4,124,108,16,2847.0
0:33.0, ,124-108,Shooting foul by O. Yurtseven (drawn by D. Jones),,4,124,108,16,2847.0
0:33.0, ,124-109,D. Jones makes free throw 1 of 1,,4,124,109,15,2847.0
0:11.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by G. Vincent),127-109, ,,4,127,109,18,2869.0
0:00.0,End of 4th quarter,127-109,,,4,127,109,18,2880.0
