Time,Boston,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:47.0,P. Pritchard misses 3-pt jump shot from 23 ft,92-69, ,,3,92,69,23,1873.0
4:45.0,Offensive rebound by L. Kornet,92-69, ,,3,92,69,23,1875.0
4:39.0,L. Kornet misses 2-pt layup at rim,92-69, ,,3,92,69,23,1881.0
4:38.0, ,92-69,Defensive rebound by J. Ivey,,3,92,69,23,1882.0
4:35.0, ,92-71,J. Ivey makes 2-pt jump shot from 10 ft,,3,92,71,21,1885.0
4:31.0,Shooting foul by E. Fournier (drawn by J. Brown),92-71, ,,3,92,71,21,1889.0
4:31.0,X. Tillman enters the game for O. Brissett,92-71, ,,3,92,71,21,1889.0
4:31.0,J. Brown misses free throw 1 of 2,92-71, ,,3,92,71,21,1889.0
4:31.0,Offensive rebound by Team,92-71, ,,3,92,71,21,1889.0
4:31.0,J. Brown makes free throw 2 of 2,93-71, ,,3,93,71,22,1889.0
4:21.0, ,93-71,Turnover by C. Metu (out of bounds lost ball),,3,93,71,22,1899.0
3:59.0,P. Pritchard misses 3-pt jump shot from 27 ft,93-71, ,,3,93,71,22,1921.0
3:58.0, ,93-71,Defensive rebound by C. Cunningham,,3,93,71,22,1922.0
3:51.0, ,93-71,T. Evbuomwan misses 2-pt layup from 2 ft (block by L. Kornet),,3,93,71,22,1929.0
3:50.0, ,93-71,Offensive rebound by Team,,3,93,71,22,1930.0
3:50.0, ,93-71,M. Sasser enters the game for C. Cunningham,,3,93,71,22,1930.0
3:50.0, ,93-71,Violation by Team (delay of game),,3,93,71,22,1930.0
3:39.0, ,93-73,J. Ivey makes 2-pt layup from 4 ft,,3,93,73,20,1941.0
3:23.0,Turnover by J. Brown (bad pass),93-73, ,,3,93,73,20,1957.0
3:08.0, ,93-75,C. Metu makes 2-pt hook shot from 5 ft (assist by E. Fournier),,3,93,75,18,1972.0
2:54.0,J. Brown makes 2-pt layup from 2 ft,95-75, ,,3,95,75,20,1986.0
2:54.0,Shooting foul by E. Fournier (drawn by J. Brown),95-75, ,,3,95,75,20,1986.0
2:54.0,Boston full timeout,95-75, ,,3,95,75,20,1986.0
2:54.0,D. White enters the game for P. Pritchard,95-75, ,,3,95,75,20,1986.0
2:54.0,J. Brown makes free throw 1 of 1,96-75, ,,3,96,75,21,1986.0
2:43.0, ,96-75,Turnover by C. Metu (lost ball; steal by J. Brown),,3,96,75,21,1997.0
2:37.0,J. Brown makes 3-pt jump shot from 26 ft,99-75, ,,3,99,75,24,2003.0
2:18.0, ,99-78,T. Evbuomwan makes 3-pt jump shot from 23 ft (assist by M. Sasser),,3,99,78,21,2022.0
2:04.0,J. Brown misses 3-pt jump shot from 27 ft,99-78, ,,3,99,78,21,2036.0
2:03.0, ,99-78,Defensive rebound by Team,,3,99,78,21,2037.0
2:03.0,Loose ball foul by L. Kornet (drawn by T. Evbuomwan),99-78, ,,3,99,78,21,2037.0
2:03.0, ,99-78,J. Rhoden enters the game for J. Ivey,,3,99,78,21,2037.0
1:51.0, ,99-78,M. Sasser misses 2-pt jump shot from 8 ft,,3,99,78,21,2049.0
1:50.0,Defensive rebound by X. Tillman,99-78, ,,3,99,78,21,2050.0
1:37.0,D. White misses 2-pt jump shot from 7 ft,99-78, ,,3,99,78,21,2063.0
1:36.0,Offensive rebound by X. Tillman,99-78, ,,3,99,78,21,2064.0
1:35.0,Turnover by X. Tillman (bad pass; steal by E. Fournier),99-78, ,,3,99,78,21,2065.0
1:30.0, ,99-80,T. Evbuomwan makes 2-pt layup from 3 ft (assist by E. Fournier),,3,99,80,19,2070.0
1:06.0,S. Hauser makes 3-pt jump shot from 27 ft (assist by L. Kornet),102-80, ,,3,102,80,22,2094.0
0:56.0, ,102-80,Personal foul by J. Brown (drawn by M. Sasser),,3,102,80,22,2104.0
0:56.0,O. Brissett enters the game for L. Kornet,102-80, ,,3,102,80,22,2104.0
0:56.0, ,102-80,J. Wiseman enters the game for T. Evbuomwan,,3,102,80,22,2104.0
0:47.0, ,102-83,M. Sasser makes 3-pt jump shot from 26 ft,,3,102,83,19,2113.0
0:30.0,Shooting foul by E. Fournier (drawn by J. Brown),102-83, ,,3,102,83,19,2130.0
0:30.0,J. Brown makes free throw 1 of 2,103-83, ,,3,103,83,20,2130.0
0:30.0,J. Brown makes free throw 2 of 2,104-83, ,,3,104,83,21,2130.0
0:21.0, ,104-83,Turnover by J. Wiseman (traveling),,3,104,83,21,2139.0
0:21.0,S. Mykhailiuk enters the game for O. Brissett,104-83, ,,3,104,83,21,2139.0
0:01.0,S. Hauser misses 3-pt jump shot from 24 ft,104-83, ,,3,104,83,21,2159.0
0:00.0, ,104-83,Defensive rebound by C. Metu,,3,104,83,21,2160.0
0:00.0,End of 3rd quarter,104-83,,,3,104,83,21,2160.0
12:00.0,Start of 4th quarter,104-83,,,4,104,83,21,2160.0
11:40.0, ,104-83,C. Metu misses 3-pt jump shot from 24 ft,,4,104,83,21,2180.0
11:37.0,Defensive rebound by D. White,104-83, ,,4,104,83,21,2183.0
11:34.0,Turnover by D. White (lost ball; steal by J. Rhoden),104-83, ,,4,104,83,21,2186.0
11:30.0, ,104-85,J. Rhoden makes 2-pt dunk from 3 ft,,4,104,85,19,2190.0
11:14.0,L. Kornet makes 2-pt dunk from 4 ft (assist by D. White),106-85, ,,4,106,85,21,2206.0
11:02.0, ,106-85,J. Wiseman misses 2-pt jump shot from 11 ft,,4,106,85,21,2218.0
10:59.0,Defensive rebound by P. Pritchard,106-85, ,,4,106,85,21,2221.0
10:53.0,D. White misses 3-pt jump shot from 32 ft,106-85, ,,4,106,85,21,2227.0
10:49.0, ,106-85,Defensive rebound by C. Metu,,4,106,85,21,2231.0
10:36.0, ,106-87,E. Fournier makes 2-pt jump shot from 14 ft,,4,106,87,19,2244.0
10:20.0,D. White makes 2-pt jump shot from 16 ft,108-87, ,,4,108,87,21,2260.0
10:05.0, ,108-89,E. Fournier makes 2-pt jump shot from 6 ft (assist by J. Wiseman),,4,108,89,19,2275.0
9:54.0,Personal foul by M. Sasser (drawn by D. White),108-89, ,,4,108,89,19,2286.0
9:54.0,K. Porziņģis enters the game for L. Kornet,108-89, ,,4,108,89,19,2286.0
9:39.0,X. Tillman misses 3-pt jump shot from 27 ft,108-89, ,,4,108,89,19,2301.0
9:38.0, ,108-89,Defensive rebound by J. Rhoden,,4,108,89,19,2302.0
9:23.0, ,108-91,J. Rhoden makes 2-pt jump shot from 13 ft (assist by C. Metu),,4,108,91,17,2317.0
9:04.0,P. Pritchard misses 3-pt jump shot from 27 ft,108-91, ,,4,108,91,17,2336.0
9:01.0, ,108-91,Defensive rebound by C. Metu,,4,108,91,17,2339.0
8:59.0, ,108-91,Turnover by J. Rhoden (out of bounds lost ball),,4,108,91,17,2341.0
8:38.0,K. Porziņģis misses 3-pt jump shot from 28 ft,108-91, ,,4,108,91,17,2362.0
8:36.0, ,108-91,Defensive rebound by J. Rhoden,,4,108,91,17,2364.0
8:28.0, ,108-91,M. Sasser misses 2-pt jump shot from 19 ft,,4,108,91,17,2372.0
8:27.0, ,108-91,Offensive rebound by Team,,4,108,91,17,2373.0
8:26.0,Loose ball foul by K. Porziņģis (drawn by J. Wiseman),108-91, ,,4,108,91,17,2374.0
8:26.0,L. Kornet enters the game for K. Porziņģis,108-91, ,,4,108,91,17,2374.0
8:15.0, ,108-93,E. Fournier makes 2-pt jump shot from 7 ft,,4,108,93,15,2385.0
7:54.0,D. White makes 3-pt jump shot from 24 ft (assist by P. Pritchard),111-93, ,,4,111,93,18,2406.0
7:40.0, ,111-93,E. Fournier misses 3-pt jump shot from 28 ft,,4,111,93,18,2420.0
7:39.0,Defensive rebound by S. Mykhailiuk,111-93, ,,4,111,93,18,2421.0
7:38.0,Boston full timeout,111-93, ,,4,111,93,18,2422.0
7:16.0,P. Pritchard misses 2-pt jump shot from 10 ft,111-93, ,,4,111,93,18,2444.0
7:15.0, ,111-93,Defensive rebound by C. Metu,,4,111,93,18,2445.0
6:58.0, ,111-93,C. Metu misses 3-pt jump shot from 25 ft,,4,111,93,18,2462.0
6:55.0,Defensive rebound by L. Kornet,111-93, ,,4,111,93,18,2465.0
6:39.0,D. White misses 2-pt jump shot from 8 ft,111-93, ,,4,111,93,18,2481.0
6:37.0, ,111-93,Defensive rebound by J. Rhoden,,4,111,93,18,2483.0
6:31.0, ,111-93,Offensive foul by C. Metu (drawn by S. Mykhailiuk),,4,111,93,18,2489.0
6:31.0, ,111-93,Turnover by C. Metu (offensive foul),,4,111,93,18,2489.0
6:31.0,J. Brown enters the game for S. Mykhailiuk,111-93, ,,4,111,93,18,2489.0
6:31.0, ,111-93,C. Cunningham enters the game for E. Fournier,,4,111,93,18,2489.0
6:31.0, ,111-93,T. Evbuomwan enters the game for C. Metu,,4,111,93,18,2489.0
6:31.0, ,111-93,J. Ivey enters the game for J. Rhoden,,4,111,93,18,2489.0
6:15.0,D. White makes 2-pt jump shot from 5 ft (assist by L. Kornet),113-93, ,,4,113,93,20,2505.0
6:05.0, ,113-95,J. Wiseman makes 2-pt dunk from 4 ft (assist by M. Sasser),,4,113,95,18,2515.0
5:39.0,X. Tillman makes 2-pt layup from 4 ft (assist by D. White),115-95, ,,4,115,95,20,2541.0
5:15.0, ,115-97,J. Wiseman makes 2-pt layup from 3 ft (assist by M. Sasser),,4,115,97,18,2565.0
4:55.0,J. Brown misses 2-pt jump shot from 14 ft,115-97, ,,4,115,97,18,2585.0
4:54.0, ,115-97,Defensive rebound by T. Evbuomwan,,4,115,97,18,2586.0
4:52.0, ,115-97,Turnover by T. Evbuomwan (dbl dribble),,4,115,97,18,2588.0
4:52.0,O. Brissett enters the game for L. Kornet,115-97, ,,4,115,97,18,2588.0
4:52.0,K. Porziņģis enters the game for X. Tillman,115-97, ,,4,115,97,18,2588.0
4:36.0,J. Brown misses 3-pt jump shot from 27 ft,115-97, ,,4,115,97,18,2604.0
4:35.0, ,115-97,Defensive rebound by C. Cunningham,,4,115,97,18,2605.0
4:31.0, ,115-97,C. Cunningham misses 2-pt layup from 3 ft (block by D. White),,4,115,97,18,2609.0
4:30.0, ,115-97,Offensive rebound by Team,,4,115,97,18,2610.0
4:30.0, ,115-97,Offensive foul by J. Wiseman (drawn by K. Porziņģis),,4,115,97,18,2610.0
4:30.0, ,115-97,Turnover by J. Wiseman (offensive foul),,4,115,97,18,2610.0
4:11.0,K. Porziņģis makes 2-pt jump shot from 7 ft (assist by D. White),117-97, ,,4,117,97,20,2629.0
4:04.0, ,117-97,Personal foul by P. Pritchard (drawn by C. Cunningham),,4,117,97,20,2636.0
4:04.0,S. Hauser enters the game for P. Pritchard,117-97, ,,4,117,97,20,2636.0
3:53.0, ,117-97,C. Cunningham misses 2-pt jump shot from 6 ft,,4,117,97,20,2647.0
3:52.0,Defensive rebound by D. White,117-97, ,,4,117,97,20,2648.0
3:31.0,K. Porziņģis makes 2-pt jump shot from 12 ft (assist by D. White),119-97, ,,4,119,97,22,2669.0
3:20.0, ,119-97,Turnover by M. Sasser (lost ball; steal by K. Porziņģis),,4,119,97,22,2680.0
3:00.0,S. Hauser misses 3-pt jump shot from 27 ft,119-97, ,,4,119,97,22,2700.0
2:56.0, ,119-97,Defensive rebound by T. Evbuomwan,,4,119,97,22,2704.0
2:50.0, ,119-97,T. Evbuomwan misses 2-pt layup from 3 ft,,4,119,97,22,2710.0
2:49.0, ,119-97,Offensive rebound by T. Evbuomwan,,4,119,97,22,2711.0
2:48.0, ,119-97,Shooting foul by S. Hauser (drawn by T. Evbuomwan),,4,119,97,22,2712.0
2:48.0, ,119-97,Detroit full timeout,,4,119,97,22,2712.0
2:48.0,J. Davison enters the game for O. Brissett,119-97, ,,4,119,97,22,2712.0
2:48.0,S. Mykhailiuk enters the game for J. Brown,119-97, ,,4,119,97,22,2712.0
2:48.0,N. Queta enters the game for S. Hauser,119-97, ,,4,119,97,22,2712.0
2:48.0,J. Springer enters the game for K. Porziņģis,119-97, ,,4,119,97,22,2712.0
2:48.0,J. Walsh enters the game for D. White,119-97, ,,4,119,97,22,2712.0
2:48.0, ,119-97,B. Boeheim enters the game for C. Cunningham,,4,119,97,22,2712.0
2:48.0, ,119-97,C. Metu enters the game for J. Ivey,,4,119,97,22,2712.0
2:48.0, ,119-97,J. Rhoden enters the game for J. Wiseman,,4,119,97,22,2712.0
2:48.0, ,119-97,T. Evbuomwan misses free throw 1 of 2,,4,119,97,22,2712.0
2:48.0, ,119-97,Offensive rebound by Team,,4,119,97,22,2712.0
2:48.0, ,119-98,T. Evbuomwan makes free throw 2 of 2,,4,119,98,21,2712.0
2:33.0,N. Queta makes 2-pt dunk from 5 ft (assist by J. Davison),121-98, ,,4,121,98,23,2727.0
2:15.0, ,121-98,Turnover by M. Sasser (bad pass; steal by N. Queta),,4,121,98,23,2745.0
2:00.0,Shooting foul by J. Rhoden (drawn by N. Queta),121-98, ,,4,121,98,23,2760.0
2:00.0,N. Queta makes free throw 1 of 2,122-98, ,,4,122,98,24,2760.0
2:00.0,N. Queta misses free throw 2 of 2,122-98, ,,4,122,98,24,2760.0
1:59.0, ,122-98,Defensive rebound by J. Rhoden,,4,122,98,24,2761.0
1:42.0, ,122-98,B. Boeheim misses 3-pt jump shot from 27 ft,,4,122,98,24,2778.0
1:41.0,Defensive rebound by N. Queta,122-98, ,,4,122,98,24,2779.0
1:24.0,J. Walsh makes 2-pt dunk from 3 ft (assist by N. Queta),124-98, ,,4,124,98,26,2796.0
1:16.0, ,124-98,Shooting foul by J. Walsh (drawn by T. Evbuomwan),,4,124,98,26,2804.0
1:16.0, ,124-99,T. Evbuomwan makes free throw 1 of 2,,4,124,99,25,2804.0
1:16.0, ,124-100,T. Evbuomwan makes free throw 2 of 2,,4,124,100,24,2804.0
0:57.0,J. Davison makes 3-pt jump shot from 28 ft (assist by N. Queta),127-100, ,,4,127,100,27,2823.0
0:32.0, ,127-102,T. Evbuomwan makes 2-pt layup from 3 ft (assist by M. Sasser),,4,127,102,25,2848.0
0:11.0,J. Walsh misses 3-pt jump shot from 24 ft,127-102, ,,4,127,102,25,2869.0
0:10.0,Offensive rebound by N. Queta,127-102, ,,4,127,102,25,2870.0
0:10.0,N. Queta makes 2-pt dunk from 3 ft,129-102, ,,4,129,102,27,2870.0
0:00.0,End of 4th quarter,129-102,,,4,129,102,27,2880.0
